epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.933,0.86649,2.79169,1.1242,0.00404,1,0.37497,0.28754,0.76986,2.83272,0.98725,0.000401235,0.000401235,0.000401235
2,281.805,0.89073,1.96924,1.13441,0.45633,0.56394,0.57269,0.4154,0.86047,2.24265,1.03742,0.000797658,0.000797658,0.000797658
3,395.184,0.90069,1.76016,1.15507,0.37843,0.49536,0.47436,0.2871,1.00469,2.28369,1.19926,0.00117346,0.00117346,0.00117346
4,534.235,0.90892,1.72423,1.14373,0.37885,0.55807,0.4897,0.27908,1.24782,2.40084,1.37187,0.00115719,0.00115719,0.00115719
5,672.554,0.88883,1.6562,1.13245,0.46643,0.73511,0.6603,0.46138,0.96609,1.95904,1.0942,0.00112625,0.00112625,0.00112625
6,814.299,0.86212,1.62921,1.10586,0.69464,0.59323,0.65111,0.38774,1.25069,2.0982,1.40617,0.00109531,0.00109531,0.00109531
7,983.021,0.83834,1.56181,1.1005,0.52425,0.74459,0.66101,0.49553,0.83129,1.74364,1.01898,0.00106437,0.00106437,0.00106437
8,1151.26,0.89381,1.52099,1.11729,0.84785,0.52547,0.68026,0.45727,0.86876,1.84937,1.09547,0.00103344,0.00103344,0.00103344
9,1290.62,0.84912,1.48115,1.10437,0.50024,0.71632,0.67,0.44248,0.87433,2.05889,1.10368,0.0010025,0.0010025,0.0010025
10,1398.87,0.79876,1.4226,1.06431,0.72065,0.66792,0.75622,0.57003,0.80774,1.59592,1.04977,0.000971562,0.000971562,0.000971562
11,1486.12,0.79747,1.37846,1.04924,0.52949,0.85514,0.73718,0.54352,0.78579,1.59303,1.02742,0.000940625,0.000940625,0.000940625
12,1646.26,0.84805,1.3369,1.09275,0.51016,0.75261,0.69243,0.48579,0.92293,1.72611,1.18394,0.000909688,0.000909688,0.000909688
13,1806.13,0.79153,1.32722,1.07364,0.6613,0.64295,0.75312,0.56934,0.72156,1.55438,0.9927,0.00087875,0.00087875,0.00087875
14,1981.45,0.814,1.20051,1.08746,0.61049,0.77659,0.7765,0.61061,0.71623,1.38005,0.96867,0.000847813,0.000847813,0.000847813
15,2119.61,0.79405,1.24674,1.05472,0.69053,0.76476,0.8008,0.60287,0.79082,1.51469,1.05006,0.000816875,0.000816875,0.000816875
16,2227.08,0.79874,1.19247,1.0643,0.5394,0.81696,0.75241,0.54901,0.76891,1.48408,1.04857,0.000785938,0.000785938,0.000785938
17,2342.66,0.71641,1.08539,1.01306,0.70398,0.85874,0.80502,0.61254,0.72461,1.20296,1.01649,0.000755,0.000755,0.000755
18,2489.97,0.69539,1.08381,1.00721,0.76062,0.82481,0.80578,0.61287,0.70847,1.2179,0.99616,0.000724062,0.000724062,0.000724062
19,2601.93,0.70526,1.13845,1.02362,0.68364,0.86568,0.83127,0.65228,0.67394,1.2794,0.9587,0.000693125,0.000693125,0.000693125
20,2690.38,0.74555,1.19092,1.05371,0.29369,0.71847,0.5434,0.40081,0.76807,1.98476,0.99734,0.000662188,0.000662188,0.000662188
21,2805.2,0.68487,1.13339,1.00545,0.41318,0.7253,0.53774,0.38852,0.76391,1.77645,1.00911,0.00063125,0.00063125,0.00063125
22,2931.99,0.72634,1.04014,1.03057,0.59756,0.69561,0.72079,0.53859,0.72347,1.48011,0.98919,0.000600313,0.000600313,0.000600313
23,3043.86,0.684,1.03287,1.02257,0.57998,0.80581,0.75206,0.61202,0.7061,1.46461,0.98534,0.000569375,0.000569375,0.000569375
24,3161.45,0.67743,0.99089,1.00834,0.73345,0.78992,0.8194,0.63551,0.71108,1.23065,0.99207,0.000538438,0.000538438,0.000538438
25,3263.42,0.6702,0.96127,0.98881,0.67322,0.76659,0.78699,0.62285,0.67209,1.19652,0.97608,0.0005075,0.0005075,0.0005075
26,3419.2,0.66926,0.90593,1.01158,0.73531,0.718,0.79263,0.62166,0.7005,1.36531,0.99722,0.000476562,0.000476562,0.000476562
27,3616.1,0.64632,0.89086,0.97716,0.72142,0.70021,0.79944,0.63716,0.72226,1.40369,1.00613,0.000445625,0.000445625,0.000445625
28,3909.32,0.66994,0.89834,1.02245,0.63599,0.81137,0.80405,0.60369,0.68938,1.40067,0.99306,0.000414688,0.000414688,0.000414688
29,4019.56,0.6246,0.85456,0.99064,0.6749,0.73565,0.78082,0.59336,0.69882,1.28664,0.99919,0.00038375,0.00038375,0.00038375
30,4155.9,0.65792,0.88764,1.0114,0.66013,0.72321,0.74048,0.56963,0.69791,1.31138,1.00011,0.000352812,0.000352812,0.000352812
31,4271.13,0.51,0.89268,0.88696,0.69743,0.73409,0.73691,0.60313,0.65323,1.16225,0.96099,0.000321875,0.000321875,0.000321875
32,4346.79,0.51109,0.8622,0.88659,0.6663,0.76381,0.72187,0.59542,0.64496,1.30686,0.95762,0.000290937,0.000290937,0.000290937
33,4413.08,0.48565,0.94104,0.88547,0.64968,0.76807,0.70273,0.55248,0.69141,1.34572,0.97991,0.00026,0.00026,0.00026
34,4505.3,0.46478,0.75736,0.86417,0.71612,0.74531,0.71043,0.57163,0.71871,1.3745,1.00206,0.000229063,0.000229063,0.000229063
