stem,group,split,class_id,class_name,jpeg_src,label_src
onion_sample_007_v1,onion_sample_007,test,0,HEALTHY,data/raw/healthy/onion_sample_007_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_007_v1.txt
onion_sample_007_v2,onion_sample_007,test,0,HEALTHY,data/raw/healthy/onion_sample_007_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_007_v2.txt
onion_sample_007_v3,onion_sample_007,test,0,HEALTHY,data/raw/healthy/onion_sample_007_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_007_v3.txt
onion_sample_007_v4,onion_sample_007,test,0,HEALTHY,data/raw/healthy/onion_sample_007_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_007_v4.txt
onion_sample_023_v1,onion_sample_023,test,0,HEALTHY,data/raw/healthy/onion_sample_023_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_023_v1.txt
onion_sample_023_v2,onion_sample_023,test,0,HEALTHY,data/raw/healthy/onion_sample_023_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_023_v2.txt
onion_sample_023_v3,onion_sample_023,test,0,HEALTHY,data/raw/healthy/onion_sample_023_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_023_v3.txt
onion_sample_023_v4,onion_sample_023,test,0,HEALTHY,data/raw/healthy/onion_sample_023_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_023_v4.txt
onion_sample_028_v1,onion_sample_028,test,0,HEALTHY,data/raw/healthy/onion_sample_028_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_028_v1.txt
onion_sample_028_v2,onion_sample_028,test,0,HEALTHY,data/raw/healthy/onion_sample_028_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_028_v2.txt
onion_sample_028_v3,onion_sample_028,test,0,HEALTHY,data/raw/healthy/onion_sample_028_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_028_v3.txt
onion_sample_028_v4,onion_sample_028,test,0,HEALTHY,data/raw/healthy/onion_sample_028_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_028_v4.txt
onion_sample_034_v1,onion_sample_034,test,0,HEALTHY,data/raw/healthy/onion_sample_034_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_034_v1.txt
onion_sample_034_v2,onion_sample_034,test,0,HEALTHY,data/raw/healthy/onion_sample_034_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_034_v2.txt
onion_sample_037_v1,onion_sample_037,test,0,HEALTHY,data/raw/damaged/onion_sample_037_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_037_v1.txt
onion_sample_037_v2,onion_sample_037,test,0,HEALTHY,data/raw/damaged/onion_sample_037_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_037_v2.txt
onion_sample_037_v3,onion_sample_037,test,0,HEALTHY,data/raw/damaged/onion_sample_037_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_037_v3.txt
onion_sample_037_v4,onion_sample_037,test,0,HEALTHY,data/raw/damaged/onion_sample_037_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_037_v4.txt
onion_sample_d_012_v4,onion_sample_d_012,test,1,DAMAGED,data/raw/damaged/onion_sample_d_012_v4.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_012_v4.txt
onion_sample_r_005_v1,onion_sample_r_005,test,2,ROTTEN,data/raw/rotten/onion_sample_r_005_v1.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_005_v1.txt
onion_sample_r_005_v2,onion_sample_r_005,test,2,ROTTEN,data/raw/rotten/onion_sample_r_005_v2.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_005_v2.txt
onion_sample_r_005_v3,onion_sample_r_005,test,2,ROTTEN,data/raw/rotten/onion_sample_r_005_v3.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_005_v3.txt
onion_sample_r_005_v4,onion_sample_r_005,test,2,ROTTEN,data/raw/rotten/onion_sample_r_005_v4.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_005_v4.txt
onion_sample_r_011_v1,onion_sample_r_011,test,2,ROTTEN,data/raw/rotten/onion_sample_r_011_v1.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_011_v1.txt
onion_sample_r_011_v2,onion_sample_r_011,test,2,ROTTEN,data/raw/rotten/onion_sample_r_011_v2.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_011_v2.txt
onion_sample_r_011_v3,onion_sample_r_011,test,2,ROTTEN,data/raw/rotten/onion_sample_r_011_v3.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_011_v3.txt
onion_sample_r_017_v1,onion_sample_r_017,test,2,ROTTEN,data/raw/rotten/onion_sample_r_017_v1.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_017_v1.txt
onion_sample_r_017_v2,onion_sample_r_017,test,2,ROTTEN,data/raw/rotten/onion_sample_r_017_v2.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_017_v2.txt
onion_sample_r_017_v3,onion_sample_r_017,test,2,ROTTEN,data/raw/rotten/onion_sample_r_017_v3.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_017_v3.txt
onion_sample_r_017_v4,onion_sample_r_017,test,2,ROTTEN,data/raw/rotten/onion_sample_r_017_v4.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_017_v4.txt
onion_sample_r_021_v1,onion_sample_r_021,test,2,ROTTEN,data/raw/rotten/onion_sample_r_021_v1.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_021_v1.txt
onion_sample_r_021_v2,onion_sample_r_021,test,2,ROTTEN,data/raw/rotten/onion_sample_r_021_v2.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_021_v2.txt
onion_sample_r_021_v3,onion_sample_r_021,test,2,ROTTEN,data/raw/rotten/onion_sample_r_021_v3.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_021_v3.txt
onion_sample_r_021_v4,onion_sample_r_021,test,2,ROTTEN,data/raw/rotten/onion_sample_r_021_v4.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_021_v4.txt
onion_sample_r_023_v1,onion_sample_r_023,test,2,ROTTEN,data/raw/rotten/onion_sample_r_023_v1.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_023_v1.txt
onion_sample_r_023_v2,onion_sample_r_023,test,2,ROTTEN,data/raw/rotten/onion_sample_r_023_v2.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_023_v2.txt
onion_sample_r_023_v3,onion_sample_r_023,test,2,ROTTEN,data/raw/rotten/onion_sample_r_023_v3.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_023_v3.txt
onion_sample_r_023_v4,onion_sample_r_023,test,2,ROTTEN,data/raw/rotten/onion_sample_r_023_v4.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_023_v4.txt
onion_sample_s_001_v1,onion_sample_s_001,test,3,SPROUTED,data/raw/sprouted/onion_sample_s_001_v1.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_001_v1.txt
onion_sample_s_001_v2,onion_sample_s_001,test,3,SPROUTED,data/raw/sprouted/onion_sample_s_001_v2.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_001_v2.txt
onion_sample_s_001_v3,onion_sample_s_001,test,3,SPROUTED,data/raw/sprouted/onion_sample_s_001_v3.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_001_v3.txt
onion_sample_s_001_v4,onion_sample_s_001,test,3,SPROUTED,data/raw/sprouted/onion_sample_s_001_v4.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_001_v4.txt
onion_sample_001_v2,onion_sample_001,train,0,HEALTHY,data/raw/healthy/onion_sample_001_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_001_v2.txt
onion_sample_001_v3,onion_sample_001,train,0,HEALTHY,data/raw/healthy/onion_sample_001_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_001_v3.txt
onion_sample_002_v1,onion_sample_002,train,0,HEALTHY,data/raw/healthy/onion_sample_002_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_002_v1.txt
onion_sample_002_v2,onion_sample_002,train,0,HEALTHY,data/raw/healthy/onion_sample_002_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_002_v2.txt
onion_sample_002_v3,onion_sample_002,train,0,HEALTHY,data/raw/healthy/onion_sample_002_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_002_v3.txt
onion_sample_002_v4,onion_sample_002,train,0,HEALTHY,data/raw/healthy/onion_sample_002_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_002_v4.txt
onion_sample_004_v1,onion_sample_004,train,0,HEALTHY,data/raw/healthy/onion_sample_004_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_004_v1.txt
onion_sample_004_v2,onion_sample_004,train,0,HEALTHY,data/raw/healthy/onion_sample_004_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_004_v2.txt
onion_sample_004_v3,onion_sample_004,train,0,HEALTHY,data/raw/healthy/onion_sample_004_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_004_v3.txt
onion_sample_004_v4,onion_sample_004,train,0,HEALTHY,data/raw/healthy/onion_sample_004_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_004_v4.txt
onion_sample_005_v1,onion_sample_005,train,0,HEALTHY,data/raw/healthy/onion_sample_005_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_005_v1.txt
onion_sample_005_v2,onion_sample_005,train,0,HEALTHY,data/raw/healthy/onion_sample_005_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_005_v2.txt
onion_sample_005_v3,onion_sample_005,train,0,HEALTHY,data/raw/healthy/onion_sample_005_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_005_v3.txt
onion_sample_005_v4,onion_sample_005,train,0,HEALTHY,data/raw/healthy/onion_sample_005_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_005_v4.txt
onion_sample_006_v1,onion_sample_006,train,0,HEALTHY,data/raw/healthy/onion_sample_006_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_006_v1.txt
onion_sample_006_v2,onion_sample_006,train,0,HEALTHY,data/raw/healthy/onion_sample_006_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_006_v2.txt
onion_sample_006_v3,onion_sample_006,train,0,HEALTHY,data/raw/healthy/onion_sample_006_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_006_v3.txt
onion_sample_006_v4,onion_sample_006,train,0,HEALTHY,data/raw/healthy/onion_sample_006_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_006_v4.txt
onion_sample_008_v1,onion_sample_008,train,0,HEALTHY,data/raw/healthy/onion_sample_008_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_008_v1.txt
onion_sample_008_v2,onion_sample_008,train,0,HEALTHY,data/raw/healthy/onion_sample_008_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_008_v2.txt
onion_sample_008_v3,onion_sample_008,train,0,HEALTHY,data/raw/healthy/onion_sample_008_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_008_v3.txt
onion_sample_008_v4,onion_sample_008,train,0,HEALTHY,data/raw/healthy/onion_sample_008_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_008_v4.txt
onion_sample_009_v1,onion_sample_009,train,0,HEALTHY,data/raw/healthy/onion_sample_009_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_009_v1.txt
onion_sample_009_v2,onion_sample_009,train,0,HEALTHY,data/raw/healthy/onion_sample_009_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_009_v2.txt
onion_sample_009_v3,onion_sample_009,train,0,HEALTHY,data/raw/healthy/onion_sample_009_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_009_v3.txt
onion_sample_009_v4,onion_sample_009,train,0,HEALTHY,data/raw/healthy/onion_sample_009_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_009_v4.txt
onion_sample_011_v1,onion_sample_011,train,0,HEALTHY,data/raw/healthy/onion_sample_011_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_011_v1.txt
onion_sample_011_v2,onion_sample_011,train,0,HEALTHY,data/raw/healthy/onion_sample_011_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_011_v2.txt
onion_sample_011_v3,onion_sample_011,train,0,HEALTHY,data/raw/healthy/onion_sample_011_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_011_v3.txt
onion_sample_011_v4,onion_sample_011,train,0,HEALTHY,data/raw/healthy/onion_sample_011_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_011_v4.txt
onion_sample_012_v1,onion_sample_012,train,0,HEALTHY,data/raw/healthy/onion_sample_012_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_012_v1.txt
onion_sample_012_v2,onion_sample_012,train,0,HEALTHY,data/raw/healthy/onion_sample_012_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_012_v2.txt
onion_sample_012_v3,onion_sample_012,train,0,HEALTHY,data/raw/healthy/onion_sample_012_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_012_v3.txt
onion_sample_012_v4,onion_sample_012,train,0,HEALTHY,data/raw/healthy/onion_sample_012_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_012_v4.txt
onion_sample_014_v1,onion_sample_014,train,0,HEALTHY,data/raw/healthy/onion_sample_014_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_014_v1.txt
