stem,group,reason,scope,image_src,label_src,kept_on_disk
onion_sample_r_010_v2,onion_sample_r_010,unpaired_missing_pending,stem,data/raw/rotten/onion_sample_r_010_v2.jpeg,,yes
onion_sample_003_v1,onion_sample_003,byte_identical_conflict,conflict_pair,data/raw/healthy/onion_sample_003_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_003_v1.txt,yes
onion_sample_003_v2,onion_sample_003,byte_identical_conflict,conflict_pair,data/raw/healthy/onion_sample_003_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_003_v2.txt,yes
onion_sample_003_v3,onion_sample_003,byte_identical_conflict,conflict_pair,data/raw/healthy/onion_sample_003_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_003_v3.txt,yes
onion_sample_003_v4,onion_sample_003,byte_identical_conflict,conflict_pair,data/raw/healthy/onion_sample_003_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_003_v4.txt,yes
onion_sample_016_v1,onion_sample_016,byte_identical_conflict,conflict_pair,data/raw/healthy/onion_sample_016_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_016_v1.txt,yes
onion_sample_016_v2,onion_sample_016,byte_identical_conflict,conflict_pair,data/raw/healthy/onion_sample_016_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_016_v2.txt,yes
onion_sample_016_v3,onion_sample_016,byte_identical_conflict,conflict_pair,data/raw/healthy/onion_sample_016_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_016_v3.txt,yes
onion_sample_016_v4,onion_sample_016,byte_identical_conflict,conflict_pair,data/raw/healthy/onion_sample_016_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_016_v4.txt,yes
onion_sample_030_v1,onion_sample_030,mixed_id_physical_group,physical_group_030,data/raw/healthy/onion_sample_030_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_030_v1.txt,yes
onion_sample_030_v3,onion_sample_030,mixed_id_physical_group,physical_group_030,data/raw/healthy/onion_sample_030_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_030_v3.txt,yes
onion_sample_030_v4,onion_sample_030,mixed_id_physical_group,physical_group_030,data/raw/healthy/onion_sample_030_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_030_v4.txt,yes
onion_sample_036_v1,onion_sample_036,mixed_id_physical_group,physical_group_036,data/raw/damaged/onion_sample_036_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_036_v1.txt,yes
onion_sample_036_v2,onion_sample_036,malformed_label_missing_class_id,physical_group_036,data/raw/damaged/onion_sample_036_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_036_v2.txt,yes
onion_sample_036_v3,onion_sample_036,mixed_id_physical_group,physical_group_036,data/raw/damaged/onion_sample_036_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_036_v3.txt,yes
onion_sample_r_015_v1,onion_sample_r_015,byte_identical_conflict,conflict_pair,data/raw/rotten/onion_sample_r_015_v1.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_015_v1.txt,yes
onion_sample_r_015_v3,onion_sample_r_015,byte_identical_conflict,conflict_pair,data/raw/rotten/onion_sample_r_015_v3.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_015_v3.txt,yes
onion_sample_s_002_v1,onion_sample_s_002,byte_identical_conflict,conflict_pair,data/raw/sprouted/onion_sample_s_002_v1.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_002_v1.txt,yes
onion_sample_s_002_v2,onion_sample_s_002,byte_identical_conflict,conflict_pair,data/raw/sprouted/onion_sample_s_002_v2.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_002_v2.txt,yes
onion_sample_s_004_v1,onion_sample_s_004,byte_identical_conflict,conflict_pair,data/raw/sprouted/onion_sample_s_004_v1.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_004_v1.txt,yes
onion_sample_s_004_v2,onion_sample_s_004,byte_identical_conflict,conflict_pair,data/raw/sprouted/onion_sample_s_004_v2.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_004_v2.txt,yes
onion_sample_s_004_v3,onion_sample_s_004,byte_identical_conflict,conflict_pair,data/raw/sprouted/onion_sample_s_004_v3.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_004_v3.txt,yes
onion_sample_s_004_v4,onion_sample_s_004,byte_identical_conflict,conflict_pair,data/raw/sprouted/onion_sample_s_004_v4.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_004_v4.txt,yes
onion_sample_s_005_v1,onion_sample_s_005,byte_identical_conflict,conflict_pair,data/raw/sprouted/onion_sample_s_005_v1.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_005_v1.txt,yes
onion_sample_s_005_v2,onion_sample_s_005,byte_identical_conflict,conflict_pair,data/raw/sprouted/onion_sample_s_005_v2.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_005_v2.txt,yes
onion_sample_s_005_v3,onion_sample_s_005,byte_identical_conflict,conflict_pair,data/raw/sprouted/onion_sample_s_005_v3.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_005_v3.txt,yes
onion_sample_s_005_v4,onion_sample_s_005,byte_identical_conflict,conflict_pair,data/raw/sprouted/onion_sample_s_005_v4.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_005_v4.txt,yes
onion_sample_s_006_v1,onion_sample_s_006,byte_identical_agreement_duplicate,keep_s_001,data/raw/sprouted/onion_sample_s_006_v1.jpeg,data/processed/yolo/labels_pending/sprouted/onion_sample_s_006_v1.txt,yes
