stem,group,split,class_id,class_name,source,image_src,label_src,image_sha256
onion_sample_007_v1,onion_sample_007,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_007_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_007_v1.txt,07e13dac20547b8cc5f614585ea9d9d016a746e7519e438e5a4286bd3d46f040
onion_sample_007_v2,onion_sample_007,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_007_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_007_v2.txt,17d1337dd70d8dbf43875f07aedfb4f8115a4538dfba7262cbae0df1577c2a99
onion_sample_007_v3,onion_sample_007,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_007_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_007_v3.txt,59d04ad0cb63c6e6352165a0b09f605f9fdc941469e8662d16fed260cac44e06
onion_sample_007_v4,onion_sample_007,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_007_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_007_v4.txt,9d403178a14f7b38a6f9f3fbb57721e3eaec7fa87a829b06d79c4edae065b38a
onion_sample_023_v1,onion_sample_023,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_023_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_023_v1.txt,a8350040f4be9739391a1c34aca86344546d07a47c6d71e5a1a422e50feacc03
onion_sample_023_v2,onion_sample_023,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_023_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_023_v2.txt,1bedf8c37bdce22ef3e0801451ed2f4e0030435709925677e55ef5ea72328091
onion_sample_023_v3,onion_sample_023,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_023_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_023_v3.txt,9ea47090b685f9611a41d073452ac6ec755fa50b0683f049b25717c9eeff2893
onion_sample_023_v4,onion_sample_023,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_023_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_023_v4.txt,fa074f48967033fb4c8995effbd99c6fac582cc245c5aa01df8dd6d7cc6d9310
onion_sample_028_v1,onion_sample_028,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_028_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_028_v1.txt,3c482a8858cbb714473aeba749bd325c6ac25606d7d59456a921bf50a96bd264
onion_sample_028_v2,onion_sample_028,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_028_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_028_v2.txt,5ada7e2e12c122c627119d2d8d6123b05768bfc7d5bc9a0969249057ab47122e
onion_sample_028_v3,onion_sample_028,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_028_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_028_v3.txt,e04b406e90c63f9b4de3956f0ba7e1539918fe97cef0e898952ecc10a93743a9
onion_sample_028_v4,onion_sample_028,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_028_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_028_v4.txt,5d4edcb7c86e82ee4203bab8ffe3c2d5a562c28b0e6d1fb8d78435e8032a79dd
onion_sample_034_v1,onion_sample_034,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_034_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_034_v1.txt,ff157484bd6f574d3942150a3a45a195a7e0541bb777227bed807115437b056a
onion_sample_034_v2,onion_sample_034,test,0,HEALTHY,raw+pending,data/raw/healthy/onion_sample_034_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_034_v2.txt,a68aa32722a4ce054e7cbaef32c2aa070b0f86bd4e4e8cbcc4958a5b2fc6d9ef
onion_sample_037_v1,onion_sample_037,test,0,HEALTHY,raw+pending,data/raw/damaged/onion_sample_037_v1.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_037_v1.txt,41ad1af83e6fe518969087ae8d3f636d9a769f09f26fe230949ec8e16e287377
onion_sample_037_v2,onion_sample_037,test,0,HEALTHY,raw+pending,data/raw/damaged/onion_sample_037_v2.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_037_v2.txt,e1a2858829df5c3586987bbbf02c4ae6eca8e1ae2cc68448e26751d68198de8b
onion_sample_037_v3,onion_sample_037,test,0,HEALTHY,raw+pending,data/raw/damaged/onion_sample_037_v3.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_037_v3.txt,0d1db673dfdf06b199b8904af93897886e0e91ce33b1c37148c8df8704e5bc98
onion_sample_037_v4,onion_sample_037,test,0,HEALTHY,raw+pending,data/raw/damaged/onion_sample_037_v4.jpeg,data/processed/yolo/labels_pending/healthy/onion_sample_037_v4.txt,53461ac6291a29442102f412f3d470ab25a9187be2a48edfe108cf8d3fed6535
onion_sample_d_005_v3,onion_sample_d_005,test,1,DAMAGED,raw+pending,data/raw/damaged/onion_sample_d_005_v3.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_005_v3.txt,f42427b3accffa9ddd7febfce6b7e8f6fb2098a7f64e30880e11124020250130
onion_sample_d_005_v4,onion_sample_d_005,test,1,DAMAGED,raw+pending,data/raw/damaged/onion_sample_d_005_v4.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_005_v4.txt,b126cc81abd4b4d26f7745cbd12538c3be9125253a868556973bfa0d1db898d4
onion_sample_d_012_v4,onion_sample_d_012,test,1,DAMAGED,raw+pending,data/raw/damaged/onion_sample_d_012_v4.jpeg,data/processed/yolo/labels_pending/damaged/onion_sample_d_012_v4.txt,ef80fb5f23bce3c1c6f80bc7b6b31d9fdfb9393638221ef918a56c57af26d743
onion_sample_r_005_v1,onion_sample_r_005,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_005_v1.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_005_v1.txt,941b0f2b5b3c17442ee9028e8153d4d2f27bc9727dc89530a5fe57ecdf1d4131
onion_sample_r_005_v2,onion_sample_r_005,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_005_v2.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_005_v2.txt,12387a177cde1f3dccf447afde68a734bc5554054f627e245b4db0994c8f0f04
onion_sample_r_005_v3,onion_sample_r_005,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_005_v3.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_005_v3.txt,4df669b05a6934f4e51f3b68e095fe01cd7896f01fefd5519de3332869091fb8
onion_sample_r_005_v4,onion_sample_r_005,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_005_v4.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_005_v4.txt,db456fbc8ef9ed00cdcf2316711b537ca6d47892cc36708ac8eef90852dd2d43
onion_sample_r_011_v1,onion_sample_r_011,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_011_v1.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_011_v1.txt,6c73e9cfa2625c551260c3a678f3795dd6b8008f56a152fed829d708ca4cff94
onion_sample_r_011_v2,onion_sample_r_011,test,2,ROTTEN,raw+pending,data/raw/rotten/onion_sample_r_011_v2.jpeg,data/processed/yolo/labels_pending/rotten/onion_sample_r_011_v2.txt,a45839279e5f4afede229acaf45462e72a163f63693e999bf7a4c959e718fc49
